event_id,event_frequency,cell_id,turbine_id,failure_mode,p_failure,windspeed_ms,failure_cause,component,repair_time_hr,materials_usd,service_equipment,operation_reduction,is_unscheduled
79,0.041666666666666664,51,C51_T081,pitch_extremewind_typhoon,0.03,41.799519406597184,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,51,C51_T094,pitch_extremewind_typhoon,0.01,34.77518777827613,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,51,C51_T100,pitch_extremewind_typhoon,0.01,33.48640644677884,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,51,C51_T115,pitch_extremewind_typhoon,0.01,34.77518777827613,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,51,C51_T124,pitch_extremewind_typhoon,0.01,33.48640644677884,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,51,C51_T126,pitch_extremewind_typhoon,0.01,33.488762423113464,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,51,C51_T143,pitch_extremewind_typhoon,0.03,41.799519406597184,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,51,C51_T150,pitch_extremewind_typhoon,0.01,34.77518777827613,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,51,C51_T164,pitch_extremewind_typhoon,0.01,34.77518777827613,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,51,C51_T174,pitch_extremewind_typhoon,0.03,41.799519406597184,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,52,C52_T030,pitch_extremewind_typhoon,0.01,32.386503706742474,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,52,C52_T043,pitch_extremewind_typhoon,0.03,42.94068955685827,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,52,C52_T048,pitch_extremewind_typhoon,0.01,36.45122057708734,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,52,C52_T057,blade_major_typhoon,0.01,36.45122057708734,typhoon,blade,120,350000,DSV,1.0,1
372,0.041666666666666664,52,C52_T066,blade_major_typhoon,0.01,36.45122057708734,typhoon,blade,120,350000,DSV,1.0,1
372,0.041666666666666664,52,C52_T075,pitch_extremewind_typhoon,0.01,36.45122057708734,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,52,C52_T088,pitch_extremewind_typhoon,0.03,42.94068955685827,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,52,C52_T115,pitch_extremewind_typhoon,0.01,35.6631567407713,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,52,C52_T116,blade_major_typhoon,0.01,42.94068955685827,typhoon,blade,120,350000,DSV,1.0,1
79,0.041666666666666664,52,C52_T116,pitch_extremewind_typhoon,0.03,42.94068955685827,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,52,C52_T121,blade_major_typhoon,0.01,36.45122057708734,typhoon,blade,120,350000,DSV,1.0,1
372,0.041666666666666664,52,C52_T121,pitch_extremewind_typhoon,0.01,36.45122057708734,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,52,C52_T136,pitch_extremewind_typhoon,0.03,42.94068955685827,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,52,C52_T151,pitch_extremewind_typhoon,0.03,42.94068955685827,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,52,C52_T162,pitch_extremewind_typhoon,0.01,35.6631567407713,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,52,C52_T169,pitch_extremewind_typhoon,0.03,42.94068955685827,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,52,C52_T176,pitch_extremewind_typhoon,0.03,42.94068955685827,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,53,C53_T002,blade_major_typhoon,0.01,43.426200151480764,typhoon,blade,120,350000,DSV,1.0,1
