event_id,event_frequency,cell_id,turbine_id,failure_mode,failure_cause,windspeed_ms,p_failure,component,repair_time_hr,materials_usd,service_equipment,operation_reduction,is_unscheduled
676,0.041666666666666664,64,S00T37,blade_major_typhoon,typhoon,40.550193920233596,0.01,blade,120.0,350000.0,DSV,1.0,1
79,0.041666666666666664,64,S00T4,pitch_extremewind_typhoon,typhoon,39.13645515274543,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,64,S00T42,blade_major_typhoon,typhoon,39.13645515274543,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,64,S00T8,pitch_extremewind_typhoon,typhoon,40.550193920233596,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
305,0.041666666666666664,65,S00T3,pitch_extremewind_typhoon,typhoon,31.711177761423414,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,65,S00T36,pitch_extremewind_typhoon,typhoon,37.064022008807434,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
255,0.041666666666666664,65,S00T44,pitch_extremewind_typhoon,typhoon,30.167826695942487,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,65,S00T45,pitch_extremewind_typhoon,typhoon,40.709038595114485,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
255,0.041666666666666664,65,S00T48,pitch_extremewind_typhoon,typhoon,30.167826695942487,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,68,S00T50,pitch_extremewind_typhoon,typhoon,30.26479292836597,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
436,0.041666666666666664,70,S00T17,pitch_extremewind_typhoon,typhoon,31.49456675269713,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,71,S00T5,pitch_extremewind_typhoon,typhoon,39.49822252846446,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,72,S00T37,pitch_extremewind_typhoon,typhoon,41.98161542548871,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,72,S00T40,blade_major_typhoon,typhoon,35.83628560568334,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,72,S00T40,blade_major_typhoon,typhoon,41.98161542548871,0.01,blade,120.0,350000.0,DSV,1.0,1
336,0.041666666666666664,72,S00T52,pitch_extremewind_typhoon,typhoon,35.83628560568334,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,73,S00T1,blade_major_typhoon,typhoon,38.840183656436146,0.01,blade,120.0,350000.0,DSV,1.0,1
336,0.041666666666666664,73,S00T28,pitch_extremewind_typhoon,typhoon,38.840183656436146,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,74,S00T10,blade_major_typhoon,typhoon,44.91564972364142,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,75,S00T15,blade_major_typhoon,typhoon,45.980315325531215,0.05,blade,120.0,350000.0,DSV,1.0,1
336,0.041666666666666664,75,S00T24,blade_major_typhoon,typhoon,41.21153755270075,0.01,blade,120.0,350000.0,DSV,1.0,1
372,0.041666666666666664,75,S00T25,pitch_extremewind_typhoon,typhoon,30.13653576338189,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,75,S00T28,pitch_extremewind_typhoon,typhoon,41.21153755270075,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,76,S00T24,pitch_extremewind_typhoon,typhoon,47.76871998137431,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,76,S00T30,blade_major_typhoon,typhoon,47.76871998137431,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,76,S00T35,pitch_extremewind_typhoon,typhoon,47.76871998137431,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
255,0.041666666666666664,76,S00T39,pitch_extremewind_typhoon,typhoon,30.710404785527338,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,76,S00T4,blade_major_typhoon,typhoon,47.76871998137431,0.05,blade,120.0,350000.0,DSV,1.0,1
79,0.041666666666666664,76,S00T46,pitch_extremewind_typhoon,typhoon,35.18170279446351,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,77,S00T11,blade_major_typhoon,typhoon,51.0730522463851,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,77,S00T2,blade_major_typhoon,typhoon,51.0730522463851,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,77,S00T2,pitch_extremewind_typhoon,typhoon,51.0730522463851,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
255,0.041666666666666664,77,S00T22,pitch_extremewind_typhoon,typhoon,31.17885922832153,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,77,S00T35,pitch_extremewind_typhoon,typhoon,51.0730522463851,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,77,S00T36,pitch_extremewind_typhoon,typhoon,51.0730522463851,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,77,S00T41,pitch_extremewind_typhoon,typhoon,51.0730522463851,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
372,0.041666666666666664,77,S00T45,blade_major_typhoon,typhoon,36.4994553967968,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,77,S00T47,pitch_extremewind_typhoon,typhoon,51.0730522463851,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,77,S00T53,blade_major_typhoon,typhoon,51.0730522463851,0.05,blade,120.0,350000.0,DSV,1.0,1
372,0.041666666666666664,78,S00T11,blade_major_typhoon,typhoon,37.934397290319424,0.01,blade,120.0,350000.0,DSV,1.0,1
79,0.041666666666666664,78,S00T14,pitch_extremewind_typhoon,typhoon,35.73937545388292,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
